2025-09-01 11:40:59.463 | INFO     | src.api.server:chat:24 - [804a27a1-9505-4bf2-8c65-21caae1d84e0] User: Ya funcionas
2025-09-01 11:40:59.469 | INFO     | src.api.server:chat:26 - [804a27a1-9505-4bf2-8c65-21caae1d84e0] Bot: Voy a derivar esta conversación a un agente humano para brindarte una mejor atención. ¿Deseas dejar un correo o teléfono? (cat= consultoría en datos e implementación de IA., score=0.00, handoff=True)
2025-09-01 11:41:46.310 | INFO     | src.api.server:chat:24 - [804a27a1-9505-4bf2-8c65-21caae1d84e0] User: Necesito cotizar un producto
2025-09-01 11:41:46.313 | INFO     | src.api.server:chat:26 - [804a27a1-9505-4bf2-8c65-21caae1d84e0] Bot: Si necesitas escalar un caso (cat= indícanos 'Quiero hablar con un agente humano'., score=0.39, handoff=False)
2025-09-01 11:42:20.718 | INFO     | src.api.server:chat:24 - [804a27a1-9505-4bf2-8c65-21caae1d84e0] User: Necesito comprar un viaje
2025-09-01 11:42:20.727 | INFO     | src.api.server:chat:26 - [804a27a1-9505-4bf2-8c65-21caae1d84e0] Bot: Si necesitas escalar un caso (cat= indícanos 'Quiero hablar con un agente humano'., score=0.39, handoff=False)
2025-09-01 11:42:55.366 | INFO     | src.api.server:chat:24 - [804a27a1-9505-4bf2-8c65-21caae1d84e0] User: Dime otra cosa
2025-09-01 11:42:55.376 | INFO     | src.api.server:chat:26 - [804a27a1-9505-4bf2-8c65-21caae1d84e0] Bot: Voy a derivar esta conversación a un agente humano para brindarte una mejor atención. ¿Deseas dejar un correo o teléfono? (cat= consultoría en datos e implementación de IA., score=0.00, handoff=True)
2025-09-01 11:43:07.164 | INFO     | src.api.server:chat:24 - [804a27a1-9505-4bf2-8c65-21caae1d84e0] User: Tengo un error
2025-09-01 11:43:07.174 | INFO     | src.api.server:chat:26 - [804a27a1-9505-4bf2-8c65-21caae1d84e0] Bot: Si necesitas escalar un caso (cat= indícanos 'Quiero hablar con un agente humano'., score=0.39, handoff=False)
2025-09-01 11:45:02.641 | INFO     | src.api.server:chat:24 - [804a27a1-9505-4bf2-8c65-21caae1d84e0] User: Tengo un error


2025-09-01 11:45:02.644 | INFO     | src.api.server:chat:26 - [804a27a1-9505-4bf2-8c65-21caae1d84e0] Bot: Si necesitas escalar un caso (cat= indícanos 'Quiero hablar con un agente humano'., score=0.39, handoff=False)
2025-09-01 11:45:13.001 | INFO     | src.api.server:chat:24 - [6ad67cfe-3cf6-4aed-976a-e95a1bf5eb95] User: Tengo un erorr
2025-09-01 11:45:13.009 | INFO     | src.api.server:chat:26 - [6ad67cfe-3cf6-4aed-976a-e95a1bf5eb95] Bot: Si necesitas escalar un caso (cat= indícanos 'Quiero hablar con un agente humano'., score=0.39, handoff=False)
2025-09-01 11:47:25.488 | INFO     | src.api.server:chat:24 - [0f562c85-04f1-4b17-8b48-74f943f68f4c] User: Quiero comprar
2025-09-01 11:47:25.497 | INFO     | src.api.server:chat:26 - [0f562c85-04f1-4b17-8b48-74f943f68f4c] Bot: Voy a derivar esta conversación a un agente humano para brindarte una mejor atención. ¿Deseas dejar un correo o teléfono? (cat= consultoría en datos e implementación de IA., score=0.00, handoff=True)
2025-09-01 11:48:37.086 | INFO     | src.api.server:chat:24 - [0f562c85-04f1-4b17-8b48-74f943f68f4c] User: comprar
